ลำดับที่,Client,Location,Project Name,Brand, QT No.,Business Unit,Project Type,Preriod,Remark, Cost to Cost method ©,Final actual margin(%) ,Total Revenue 2021,Actual Cost (A),Final actual margin(จำนวน) ,,
16,"BD (Thailand) Co.,Ltd",Thailand,Eucerin Team Building,Eucerin,QT21100018,BU3A,Key Account,28-30 Oct 21,, 100.00 , 11.75 ," 120,837.42 "," 106,641.63 "," 14,195.79 ",,
17,"BD (Thailand) Co.,Ltd",Thailand,Eucerin logistic Hospital on Jan 21,Eucerin,QT21010001,BU1A,Logistic,4 Jan - 4 Feb 21,, 100.00 , 27.82 ," 83,853.76 "," 60,521.53 "," 23,332.23 ",,
18,"BD (Thailand) Co.,Ltd",Thailand,Eucerin Logistic Retail on Jan 21,Eucerin,QT21010002,BU1A,Logistic,4 Jan - 4 Feb 21,, 100.00 , 41.49 ," 207,323.20 "," 121,309.46 "," 86,013.74 ",,
19,"BD (Thailand) Co.,Ltd",Thailand,Eucerin x OTC kay Customer Joint Business Plan,Eucerin,QT21010079,BU3A,Key Account,31 Jan - 15 Feb 21,, 100.00 , 11.96 ," 500,735.31 "," 440,826.92 "," 59,908.39 ",,
20,"BD (Thailand) Co.,Ltd",Thailand,Eucerin WHT Booth @EVEANDBOY(Ngamwongwan&ZPELL) - Operation (QT20110001),Eucerin,QT20110001,BU1A,Event,Dec 20 - Jan 21,, 100.00 , 85.60 ," 31,602.22 "," 4,550.00 "," 27,052.22 ",,
21,"BD (Thailand) Co.,Ltd",Thailand,Eucerin Hya AOX internal launch  (QT20110049),Eucerin,QT20110049,BU1A,Event,Dec 20 - Jan 21,, 100.00 , 30.05 ," 162,956.25 "," 113,989.22 "," 48,967.03 ",,
22,"BD (Thailand) Co.,Ltd",Thailand,Eucerin Logistic_Hospital (DEC) (QT20110090),Eucerin,QT20110090,BU1A,Logistic,Dec 20- Jan 21,, 100.00 , 29.83 ," 68,238.54 "," 47,883.83 "," 20,354.71 ",,
23,"BD (Thailand) Co.,Ltd",Thailand,Eucerin Logistic_Retail (DEC) (QT20110091),Eucerin,QT20110091,BU1A,Logistic,Dec 20- Jan 21,, 100.00 , 23.27 ," 163,523.83 "," 125,468.27 "," 38,055.56 ",,
24,"BD (Thailand) Co.,Ltd",Thailand,Eucerin - Warehouse,Eucerin,QT20120034,BU1A,Event,Jan - June  21,, 0.00 ,, 0.00 ,,,,
25,"BD (Thailand) Co.,Ltd",Thailand,Eucerin - Warehouse on Jan 21,Eucerin,QT20120034.1,BU1A,Event,on Jan 21,, 100.00 , 48.51 ," 6,741.00 "," 3,470.84 "," 3,270.16 ",,
26,"BD (Thailand) Co.,Ltd",Thailand,Eucerin - Warehouse on Feb 21,Eucerin,QT20120034.2,BU1A,Event,on Feb 21,, 100.00 , 74.79 ," 6,741.00 "," 1,699.72 "," 5,041.28 ",,
27,"BD (Thailand) Co.,Ltd",Thailand,Eucerin - Warehouse on Mar 21,Eucerin,QT20120034.3,BU1A,Event,on Mar 21,, 100.00 , 65.26 ," 6,741.00 "," 2,342.09 "," 4,398.91 ",,
28,"BD (Thailand) Co.,Ltd",Thailand,Eucerin - Warehouse on April 21,Eucerin,QT20120034.4,BU1A,Event,on April 21,, 100.00 , 70.71 ," 6,741.00 "," 1,974.55 "," 4,766.45 ",,
29,"BD (Thailand) Co.,Ltd",Thailand,Eucerin - Warehouse on May 21,Eucerin,QT20120034.5,BU1A,Event,on May 21,, 100.00 , 72.08 ," 6,741.00 "," 1,881.84 "," 4,859.16 ",,
30,"BD (Thailand) Co.,Ltd",Thailand,Eucerin - Warehouse[June],Eucerin,QT20120034.6,BU1A,Event,1 Jun 21,, 100.00 , 68.36 ," 6,741.00 "," 2,133.08 "," 4,607.92 ",,
32,"BD (Thailand) Co.,Ltd",Thailand,Eucerin - Warehouse Jul 2021,Eucerin,QT21050032.1,BU1A,Logistic,1-31 July 21,, 100.00 , 69.73 ," 6,741.00 "," 2,040.37 "," 4,700.63 ",,
33,"BD (Thailand) Co.,Ltd",Thailand,Eucerin - Warehouse Aug 2021,Eucerin,QT21050032.2,BU1A,Logistic,1-31 Aug 21,, 100.00 , 69.73 ," 6,741.00 "," 2,040.37 "," 4,700.63 ",,
34,"BD (Thailand) Co.,Ltd",Thailand,Eucerin - Warehouse Sep 2021,Eucerin,QT21050032.3,BU1A,Logistic,1-30 Sep 21,, 100.00 , 70.71 ," 6,741.00 "," 1,974.55 "," 4,766.45 ",,
35,"BD (Thailand) Co.,Ltd",Thailand,Eucerin - Warehouse Oct 2021,Eucerin,QT21050032.4,BU1A,Logistic,1-31 Oct 21,, 100.00 , 69.73 ," 6,741.00 "," 2,040.37 "," 4,700.63 ",,
36,"BD (Thailand) Co.,Ltd",Thailand,Eucerin - Warehouse Nov 2021,Eucerin,QT21050032.5,BU1A,Logistic,1 Nov - 31 Dec 21,, 100.00 , 70.71 ," 6,741.00 "," 1,974.55 "," 4,766.45 ",,
37,"BD (Thailand) Co.,Ltd",Thailand,Eucerin - Warehouse Dec 2021,Eucerin,QT21050032.6,BU1A,Logistic,1-31 Dec 21,, 100.00 , 69.73 ," 6,741.00 "," 2,040.37 "," 4,700.63 ",,
38,"BD (Thailand) Co.,Ltd",Thailand,Eucerin Logistic Repack&Redress Additional (QT21010027),Eucerin,QT21010027,BU1A,Logistic,21 Jan 24,, 100.00 , 23.61 ," 28,676.00 "," 21,905.65 "," 6,770.35 ",,
39,"BD (Thailand) Co.,Ltd",Thailand,Eucerin Design Game online,Eucerin,QT21010054,BU1A,Event,21 Feb 24,, 0.00 , 100.00 ," 17,655.00 ", 0.00 ," 17,655.00 ",,
40,"BD (Thailand) Co.,Ltd",Thailand,Eucerin Healthcare 2021,Eucerin,QT21010077,BU1A,Event,4-5 Feb 21,, 100.00 , 50.01 ," 57,972.60 "," 28,980.22 "," 28,992.38 ",,
41,"BD (Thailand) Co.,Ltd",Thailand,Eucerin Healthcare 2021(Live Streaming),Eucerin,QT21010078,BU3A,Key Account,4-5 Feb 21,, 100.00 , 11.53 ," 494,480.62 "," 437,476.29 "," 57,004.33 ",,
42,"BD (Thailand) Co.,Ltd",Thailand,Eucerin Logistic Retail on Feb 21,Eucerin,QT21020001,BU1A,Logistic,10 Feb - 10 Mar 21,, 100.00 , 27.15 ," 207,323.20 "," 151,039.62 "," 56,283.58 ",,
43,"BD (Thailand) Co.,Ltd",Thailand,Eucerin Logistic Hospital on Feb 21,Eucerin,QT21020002,BU1A,Logistic,10 Feb - 10 Mar 21,, 100.00 , 29.52 ," 83,853.76 "," 59,102.12 "," 24,751.64 ",,
44,"BD (Thailand) Co.,Ltd",Thailand,Eucerin Design Poreless solution (QT21020028),Eucerin,QT21020028,BU1A,Event,21 Mar 24,, 0.00 , 100.00 ," 17,655.00 ", 0.00 ," 17,655.00 ",,
45,"BD (Thailand) Co.,Ltd",Thailand,Eucerin lunch box รพ.รามา (QT21030078),Eucerin,QT20100036,BU1A,Key Account,Dec 20-Mar 21,, 100.00 , 56.99 ," 14,429.25 "," 6,205.62 "," 8,223.63 ",,
46,"BD (Thailand) Co.,Ltd",Thailand,NIVEA x CJ ใส่ใจชุมชน สู้ภัยโควิด 19 (QT21030046),NIVEA,QT21030046,BU1A,Event,24 Mar 21,, 100.00 , 58.65 ," 144,513.43 "," 59,757.07 "," 84,756.36 ",,
47,"BD (Thailand) Co.,Ltd",Thailand,Eucerin Logistic Hospital on Mar 21,Eucerin,QT21020019,BU1A,Logistic,10 Mar - 10 April 21,, 100.00 , 31.64 ," 83,853.76 "," 57,323.53 "," 26,530.23 ",,
48,"BD (Thailand) Co.,Ltd",Thailand,Eucerin Logistic Retail on Mar 21,Eucerin,QT21020017,BU1A,Logistic,10 Mar - 10 April 21,, 100.00 , 27.28 ," 207,323.20 "," 150,773.20 "," 56,550.00 ",,
49,"BD (Thailand) Co.,Ltd",Thailand,Chonburi Drug Store Association Event งานสมาคมร้านขายยาชลบุรี ,Eucerin,QT21030038,BU1A,Event,21 Mar - 4 April 21,, 100.00 , 29.41 ," 290,338.76 "," 204,949.62 "," 85,389.14 ",,
50,"BD (Thailand) Co.,Ltd",Thailand,Eucerin Hyaluron Aox Booth Activation at Eveandboy Mega Bangna/Zpell Rangsit @ SQ 1   ,Eucerin,QT21020058,BU1A,Event,26 Mar - 8 April 21,, 100.00 , 43.21 ," 243,645.75 "," 138,357.22 "," 105,288.53 ",,
51,"BD (Thailand) Co.,Ltd",Thailand,Eucerin Logistic Hospital on April 21,Eucerin,QT21030142,BU1A,Logistic,11 April - 10 May 21,, 100.00 , 19.35 ," 83,853.76 "," 67,630.13 "," 16,223.63 ",,
52,"BD (Thailand) Co.,Ltd",Thailand,Eucerin Logistic Retail on April 21,Eucerin,QT21030143,BU1A,Logistic,11 April - 10 May 21,, 100.00 , 25.06 ," 207,323.20 "," 155,370.32 "," 51,952.88 ",,
53,"BD (Thailand) Co.,Ltd",Thailand,Eucerin Logistic Hospital [May],Eucerin,QT21050009,BU1A,Logistic,11 May - 10 June 21,, 100.00 , 27.62 ," 207,323.20 "," 150,062.03 "," 57,261.17 ",,
54,"BD (Thailand) Co.,Ltd",Thailand,Eucerin Logistic Retail [May],Eucerin,QT21050001,BU1A,Logistic,11 May - 10 June 21,, 100.00 , 23.93 ," 83,853.76 "," 63,789.94 "," 20,063.82 ",,
55,"BD (Thailand) Co.,Ltd",Thailand,Eucerin Logistic Hospital [June ],Eucerin,QT21050002,BU1A,Logistic,June - July 21,, 100.00 , 22.09 ," 83,853.76 "," 65,328.15 "," 18,525.61 ",,
56,"BD (Thailand) Co.,Ltd",Thailand,Eucerin Logistic Retail [June ],Eucerin,QT21050010,BU1A,Logistic,June - July 21,, 100.00 , 31.05 ," 207,323.20 "," 142,950.73 "," 64,372.47 ",,
57,"BD (Thailand) Co.,Ltd",Thailand,Eucerin Logsitic  additional cost June 21,Eucerin,QT21050059,BU1A,Logistic,May - June 21,, 100.00 , 27.29 ," 155,971.76 "," 113,412.19 "," 42,559.57 ",,
58,"BD (Thailand) Co.,Ltd",Thailand,Eucerin Logsitic Hospital on July 21,Eucerin,QT21050003,BU1A,Logistic,July - Aug 21,, 100.00 , 26.57 ," 83,853.76 "," 61,577.63 "," 22,276.13 ",,
59,"BD (Thailand) Co.,Ltd",Thailand,Eucerin Logsitic Retail on July 21,Eucerin,QT21050011,BU1A,Logistic,July - Aug 21,, 100.00 , 26.42 ," 207,323.20 "," 152,550.17 "," 54,773.03 ",,
60,"BD (Thailand) Co.,Ltd",Thailand,Eucerin Logsitic Hospital on Aug 21,Eucerin,QT21050004,BU1A,Logistic,11 Aug - 10 Sep 21,, 100.00 , 32.41 ," 83,853.76 "," 56,672.58 "," 27,181.18 ",,
61,"BD (Thailand) Co.,Ltd",Thailand,Eucerin Logsitic Retail on Aug 21,Eucerin,QT21050012,BU1A,Logistic,11 Aug - 10 Sep 21,, 100.00 , 33.54 ," 194,911.20 "," 129,538.82 "," 65,372.38 ",,
62,"BD (Thailand) Co.,Ltd",Thailand,Eucerin Logsitic Hospital on Sep 21,Eucerin,QT21050005,BU1A,Logistic,20 Sep -5 Oct 21,, 100.00 , 20.71 ," 83,853.76 "," 66,489.04 "," 17,364.72 ",,
63,"BD (Thailand) Co.,Ltd",Thailand,Eucerin Logsitic Retail on Sep 21,Eucerin,QT21050013,BU1A,Logistic,20 Sep -5 Oct 21,, 100.00 , 27.85 ," 207,323.20 "," 149,583.22 "," 57,739.98 ",,
64,"BD (Thailand) Co.,Ltd",Thailand,Eucerin Logsitic Standee Sep 21,Eucerin,QT21090012,BU1A,Logistic,20 Sep -5 Oct 21,, 100.00 , 36.10 ," 81,534.00 "," 52,096.15 "," 29,437.85 ",,
65,"BD (Thailand) Co.,Ltd",Thailand,Eucerin Logsitic Hospital on Oct 21,Eucerin,QT21050006,BU1A,Logistic,Oct - Nov 21,, 100.00 , 29.77 ," 83,853.76 "," 58,890.19 "," 24,963.57 ",,
66,"BD (Thailand) Co.,Ltd",Thailand,Eucerin Logsitic Retail on Oct 21,Eucerin,QT21050014,BU1A,Logistic,Oct - Nov 21,, 100.00 , 34.37 ," 207,323.20 "," 136,060.68 "," 71,262.52 ",,
67,"BD (Thailand) Co.,Ltd",Thailand,Eucerin online Internal,Eucerin,QT21040034,BU1A,Event,May - June 21,, 100.00 , 43.20 ," 60,956.74 "," 34,624.42 "," 26,332.32 ",,
68,"BD (Thailand) Co.,Ltd",Thailand,Nivea Lucky campaign,Nivea,QT21030116,BU1A,Event,May-Sep 21,, 100.00 , 28.02 ," 1,033,513.00 "," 743,905.52 "," 289,607.48 ",,
69,"BD (Thailand) Co.,Ltd",Thailand,NIVEA Tie in 11-19 May 2021,Nivea,QT21050017,BU1A,Event,11-19 May 2021,, 100.00 , 90.91 ," 191,383.41 "," 17,405.48 "," 173,977.93 ",,
70,"BD (Thailand) Co.,Ltd",Thailand,Eucerin packing product PR set - KOLs hospital,Eucerin,QT21050069,BU1A,Event,1 Jun 21,, 100.00 , 76.91 ," 7,383.00 "," 1,704.50 "," 5,678.50 ",,
71,"BD (Thailand) Co.,Ltd",Thailand,Eucerin Logistic additional cost_Packing,Eucerin,QT21050076,BU1A,Logistic,1 Jun 21,, 100.00 , 44.29 ," 3,852.00 "," 2,146.00 "," 1,706.00 ",,
72,"BD (Thailand) Co.,Ltd",Thailand,Eucerin Logsitic additional cost Transportation,Eucerin,QT21050070,BU1A,Logistic,June - July 21,, 100.00 , 17.36 ," 6,050.00 "," 5,000.00 "," 1,050.00 ",,
73,"BD (Thailand) Co.,Ltd",Thailand,NIVEA แผ่นเทส,Nivea,QT21060001,BU1A,Event,1 Jun 21,, 100.00 , 70.95 ," 7,918.00 "," 2,300.00 "," 5,618.00 ",,
74,"BD (Thailand) Co.,Ltd",Thailand,Eucerin Health Care,Eucerin,QT21050042,BU1A,Event,24-25 Jun- 16 July  2021,, 100.00 , 15.98 ," 713,464.97 "," 599,427.31 "," 114,037.66 ",,
75,"BD (Thailand) Co.,Ltd",Thailand,Eucerin_Webinar training teams,Eucerin,QT21050060,BU1B,Event,June - Dec 21,, 0.00 ,, 0.00 ,,,,
76,"BD (Thailand) Co.,Ltd",Thailand,Eucerin_Webinar training teams,Eucerin,QT21050060.1,BU1B,Event,June- July 21,, 100.00 , 14.12 ," 196,417.02 "," 168,682.93 "," 27,734.09 ",,
77,"BD (Thailand) Co.,Ltd",Thailand,Eucerin_Webinar training teams,Eucerin,QT21050060.2,BU1B,Event,July - Mar 22,, 72.72 , 7.89 ," 140,030.69 "," 128,984.23 "," 11,046.46 ",,
78,"BD (Thailand) Co.,Ltd",Thailand,Eucerin_Webinar training teams,Eucerin,QT21050060.3,BU1A,Event,Aug - Oct 21,, 100.00 , 13.19 ," 272,221.32 "," 236,303.40 "," 35,917.92 ",,
79,"BD (Thailand) Co.,Ltd",Thailand,Eucerin Webinar Training Teams Nov 21,Eucerin,QT21050060.4,BU1A,Event,1-30 Nov 21,, 100.00 , 13.44 ," 81,886.05 "," 70,880.00 "," 11,006.05 ",,
80,"BD (Thailand) Co.,Ltd",Thailand,Eucerin Webinar Training Teams special Traning 21,Eucerin,QT21050060.6,BU1A,Event,1-31 Dec 21,, 100.00 , 77.41 ," 7,265.50 "," 1,641.08 "," 5,624.42 ",,
81,"BD (Thailand) Co.,Ltd",Thailand,Eucerin logistic_counter shied_Jul,Eucerin,QT21060021,BU1A,Logistic,1 Jul 21,, 100.00 , 35.78 ," 58,743.00 "," 37,725.00 "," 21,018.00 ",,
82,"BD (Thailand) Co.,Ltd",Thailand,NIVEA Tie in_Facebook live,NIVEA,QT21060042,BU1A,Event,3-9 July 21,, 100.00 , 94.64 ," 43,395.00 "," 2,325.48 "," 41,069.52 ",,
83,"BD (Thailand) Co.,Ltd",Thailand,Eucerin_Urea_online internal launch,Eucerin,QT21060031,BU1A,Event,1 Jul 21,, 100.00 , 50.90 ," 38,320.89 "," 18,813.92 "," 19,506.97 ",,
84,"BD (Thailand) Co.,Ltd",Thailand,Nivea W630 Lucky Draw Campain,NIVEA,QT21060044,BU1A,Event,July - Oct 21,, 100.00 , 24.04 ," 197,950.00 "," 150,358.86 "," 47,591.14 ",,
85,"BD (Thailand) Co.,Ltd",Thailand,Delivery Nivea product,NIVEA,QT21070032,BU1A,Logistic,July - Aug 21,, 100.00 , 91.59 ," 6,928.25 ", 582.85 ," 6,345.40 ",,
86,"BD (Thailand) Co.,Ltd",Thailand,Eucerin logistic standee,Eucerin,QT21070028,BU1A,Logistic,July - Aug 21,, 100.00 , 24.55 ," 190,139.00 "," 143,455.35 "," 46,683.65 ",,
87,"BD (Thailand) Co.,Ltd",Thailand,NIVEA Tie in_ข่าวใส่ไข่ (Aug),Nivea,QT21070015,BU1A,Event,1 Aug 21,, 100.00 , 90.52 ," 156,969.00 "," 14,873.22 "," 142,095.78 ",,
88,"BD (Thailand) Co.,Ltd",Thailand,Eucerin_OTC academy Urea repair plus,Eucerin,QT21070039,BU1A,Event,29 Aug 21,, 100.00 , 24.27 ," 446,437.10 "," 338,100.50 "," 108,336.60 ",,
89,"BD (Thailand) Co.,Ltd",Thailand,Nivea BA Conference,Nivea,QT21070036,BU1A,Event,Aug -  15 Oct 21,18843.89, 100.00 , 42.51 ," 410,676.20 "," 236,110.28 "," 174,565.92 ",,
90,"BD (Thailand) Co.,Ltd",Thailand,Nivea PC Conference,Nivea,QT20110052,BU1A,Event,Aug - Oct 21,, 100.00 , 39.24 ," 858,653.60 "," 521,708.18 "," 336,945.42 ",,
91,"BD (Thailand) Co.,Ltd",Thailand,NIVEA Tie in_ข่าวใส่ไข่ (Aug)_Additional,Nivea,QT21080023,BU1A,Event,21 Aug 24,, 100.00 , 19.32 ," 7,162.58 "," 5,778.53 "," 1,384.05 ",,
92,"BD (Thailand) Co.,Ltd",Thailand,NIVEA Tie in_รายการแฉ_1 Sep,Nivea,QT21080025,BU1A,Event,1 Sep 21,ใช้พนักงานในบริษัท, 100.00 , 99.05 ," 179,546.00 "," 1,703.92 "," 177,842.08 ",,
93,"BD (Thailand) Co.,Ltd",Thailand,Eucerin_OTC academy Urea repair plus_additional,Eucerin,QT21080049,BU1A,Event,29 Aug - Oct 21,, 100.00 , 21.17 ," 8,303.20 "," 6,545.00 "," 1,758.20 ",,
94,"BD (Thailand) Co.,Ltd",Thailand,Eucerin_Product Giveaway,Eucerin,QT21090010,BU1A,Logistic,30 Sep 21,, 100.00 , 64.11 ," 17,227.00 "," 6,182.24 "," 11,044.76 ",,
95,"BD (Thailand) Co.,Ltd",Thailand,BDF Production banner,Eucerin,QT21110006,BU1A,Event,4 Nov 21,, 100.00 , 49.48 ," 1,979.50 "," 1,000.00 ", 979.50 ,,
96,"BD (Thailand) Co.,Ltd",Thailand,Eucerin_internal launch Hyaluron [3X],Eucerin,QT21100024,BU1A,Event,1 Nov - 17 Dec 21,, 100.00 , 84.78 ," 21,774.50 "," 3,315.00 "," 18,459.50 ",,
97,"BD (Thailand) Co.,Ltd",Thailand,Eucerin_Pack New Year Set,Eucerin,QT21100011,BU1A,Logistic,Nov  - Dec 21,, 100.00 , 36.20 ," 55,212.00 "," 35,225.43 "," 19,986.57 ",,
98,"BD (Thailand) Co.,Ltd",Thailand,Eucerin_Delivery Tablet,Eucerin,QT21090054,BU1A,Logistic,1 Nov 21,, 100.00 , 70.79 ," 107,201.16 "," 31,310.60 "," 75,890.56 ",,
99,"BD (Thailand) Co.,Ltd",Thailand,Eucerin_repack GWP,Eucerin,QT21100062,BU1A,Logistic,1 Nov 21,, 100.00 , 36.73 ," 53,255.00 "," 33,695.87 "," 19,559.13 ",,
100,"BD (Thailand) Co.,Ltd",Thailand,NIVEA Tie in_Nov,Nivea,QT21100010,BU1A,Event,2 Nov - 7 Dec 21,, 100.00 , 69.23 ," 413,127.00 "," 127,105.41 "," 286,021.59 ",,
101,"BD (Thailand) Co.,Ltd",Thailand,Eucerin Delivery NY set,Eucerin,QT21110041,BU1A,Logistic,Nov - Dec 21,, 100.00 , 76.85 ," 72,653.00 "," 16,817.08 "," 55,835.92 ",,
102,"BD (Thailand) Co.,Ltd",Thailand,Eucerin Logistic Retail [Nov],Eucerin,QT21050015,BU1A,Logistic,Nov 21 - Jan 22,, 90.72 , 23.97 ," 188,077.46 "," 142,988.19 "," 45,089.27 ",,
103,"BD (Thailand) Co.,Ltd",Thailand,Eucerin Logistic Hospital [Nov],Eucerin,QT21050007,BU1A,Logistic,Nov - Dec 21,, 100.00 , 27.07 ," 83,853.76 "," 61,158.62 "," 22,695.14 ",,
104,"BD (Thailand) Co.,Ltd",Thailand,Eucerin workshop,Eucerin,QT21110015,BU1A,Event,Nov - Dec 21,,, 0.00 , 0.00 , 0.00 , 0.00 ,,
105,"BD (Thailand) Co.,Ltd",Thailand,Eucerin workshop (Pattaya),Eucerin,QT21110015.1,BU1A,Event,21 Nov 24,, 100.00 , 26.63 ," 200,014.65 "," 146,747.24 "," 53,267.41 ",,
106,"BD (Thailand) Co.,Ltd",Thailand,Eucerin workshop (Hua Hin),Eucerin,QT21110015.2,BU1A,Event,21 Nov 24,, 100.00 , 21.15 ," 17,600.74 "," 13,878.38 "," 3,722.36 ",,
107,"BD (Thailand) Co.,Ltd",Thailand,Eucerin workshop (Grab Food),Eucerin,QT21110015.3,BU1A,Event,Nov - Dec 21,, 100.00 , 14.43 ," 77,660.00 "," 66,452.58 "," 11,207.42 ",,
108,"BD (Thailand) Co.,Ltd",Thailand,Eucerin workshop (Chiang Mai),Eucerin,QT21110015.4,BU1A,Event,Nov - Dec 21,, 100.00 , 24.09 ," 162,467.14 "," 123,323.69 "," 39,143.45 ",,
109,"BD (Thailand) Co.,Ltd",Thailand,NIVEA CSR @7-11,Nivea,QT21100040,BU1A,Event,Nov 21- Jan 22,, 59.84 , 49.25 ," 190,116.83 "," 96,486.47 "," 93,630.36 ",,
110,"BD (Thailand) Co.,Ltd",Thailand,Eucerin Hyaluron [3X] Event Additional,Eucerin,QT21110022,BU1A,Event,Nov - Dec 21,, 100.00 , 66.87 ," 1,861.80 ", 616.90 ," 1,244.90 ",,
111,"BD (Thailand) Co.,Ltd",Thailand,NIVEA_Deo lucky draw 2022,Nivea,QT21100026,BU1A,Event,Nov 21 - Feb 22,, 61.54 , 17.48 ," 428,591.47 "," 353,672.90 "," 74,918.57 ",,
112,"BD (Thailand) Co.,Ltd",Thailand,Eucerin ProAcne internal launch,Eucerin,QT21110030,BU1A,Event,1 Dec 21,, 100.00 , 67.66 ," 27,606.00 "," 8,927.49 "," 18,678.51 ",,
113,"BD (Thailand) Co.,Ltd",Thailand,BDF Christmas & New year virtual party,Eucerin,QT21110061,BU1A,Event,1 Dec 21,, 100.00 , 30.26 ," 380,270.27 "," 265,185.14 "," 115,085.13 ",,
114,"BD (Thailand) Co.,Ltd",Thailand,Eucerin counter shield (Dec),Eucerin,QT21120007,BU1A,Logistic,1 Dec 21,, 100.00 , 37.00 ," 84,367.36 "," 53,152.50 "," 31,214.86 ",,
115,"BD (Thailand) Co.,Ltd",Thailand,Eucerin Repack GWP (Dec),Eucerin,QT21120006,BU1A,Logistic,1 Dec 21,, 100.00 , 42.48 ," 67,838.00 "," 39,022.00 "," 28,816.00 ",,
116,"BD (Thailand) Co.,Ltd",Thailand,Eucerin Logistic Hospital [Dec],Eucerin,QT21050008,BU1A,Logistic,Dec 21- Jan 22,, 62.32 , 20.48 ," 52,260.26 "," 41,559.60 "," 10,700.66 ",,
117,"BD (Thailand) Co.,Ltd",Thailand,Eucerin Logistic Retail [Dec],Eucerin,QT21050016,BU1A,Logistic,Dec 21- Jan 22,, 55.51 , 22.23 ," 115,085.31 "," 89,505.54 "," 25,579.77 ",,
118,"BD (Thailand) Co.,Ltd",Thailand,NIVEA Tie in Program,Eucerin,QT21120002,BU1B,Event,Dec 21- June 22,,,, 0.00 ,, 0.00 ,,
119,"BD (Thailand) Co.,Ltd",Thailand,Eucerin Packing @ Tesco,Eucerin,QT21120038,BU1A,Logistic,on Dec 21,, 100.00 , 30.08 ," 6,721.93 "," 4,700.00 "," 2,021.93 ",,
