ลำดับที่,Business Unit,No.,Business Code,Status,Job,QT No.,Project Name,Client/Owner,Remark Status,Start date,End date,Year,Sale Name,Quater,Project,Project Name2,Customer Status,Brand/Product, Budget Amount ,Business Type,add by,หมวดธุรกิจ,add date,edit by,edit date,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,Amount,,,,,,,
11,BU 1.1,14,3,IA. APPROVED/IMPLEMENTED PROJECTS  | Finished  Projects,Logistic,QT20100037.8,Warehouse Garnier 2021 _ 200 SQM.(AUGUST),บริษัท ครีม (ประเทศไทย) จำกัด,Got PO,01-08-21,31-08-21,2021,Piriya Limteerayos,Q3,44582020,Warehouse Garnier 2021 _ 200 SQM.(AUGUST),Existing,Garnier," 26,000.00 ",ของใช้ส่วนตัวและเวชภัณฑ์,Chanatinad,บำรุงผิวหน้า,06-11-20,RAWISARA,10-02-21,,,,,,,," 43,200.00 ",,,,," 43,200.00 ",,,,,,,
12,BU 1.1,15,3,IA. APPROVED/IMPLEMENTED PROJECTS  | Finished  Projects,Logistic,QT20100037.9,Warehouse Garnier 2021 _ 200 SQM. (SEPTEMBER),บริษัท ครีม (ประเทศไทย) จำกัด,Got PO,01-09-21,30-09-21,2021,Piriya Limteerayos,Q3,44592020,Warehouse Garnier 2021 _ 200 SQM. (SEPTEMBER),Existing,Garnier," 26,000.00 ",ของใช้ส่วนตัวและเวชภัณฑ์,Chanatinad,บำรุงผิวหน้า,06-11-20,RAWISARA,10-02-21,,,,,,,,," 43,200.00 ",,,," 43,200.00 ",,,,,,,
13,BU 1.1,5,3,IA. APPROVED/IMPLEMENTED PROJECTS  | Finished  Projects,Logistic,QT20100037.10,Warehouse Garnier 2021 _ 200 SQM.(OCTOBER),บริษัท ครีม (ประเทศไทย) จำกัด,Got PO,01-10-21,31-10-21,2021,Piriya Limteerayos,Q4,445102020,Warehouse Garnier 2021 _ 200 SQM.(OCTOBER),Existing,Garnier," 26,000.00 ",ของใช้ส่วนตัวและเวชภัณฑ์,Chanatinad,บำรุงผิวหน้า,06-11-20,RAWISARA,10-02-21,,,,,,,,,," 43,200.00 ",,," 43,200.00 ",,,,,,,
14,BU 1.1,6,3,IA. APPROVED/IMPLEMENTED PROJECTS  | Finished  Projects,Logistic,QT20100037.11,Warehouse Garnier 2021 _ 200 SQM. (NOVEMBER),บริษัท ครีม (ประเทศไทย) จำกัด,Got PO,01-11-21,30-11-21,2021,Piriya Limteerayos,Q4,445112020,Warehouse Garnier 2021 _ 200 SQM. (NOVEMBER),Existing,Garnier," 26,000.00 ",ของใช้ส่วนตัวและเวชภัณฑ์,Chanatinad,บำรุงผิวหน้า,06-11-20,RAWISARA,10-02-21,,,,,,,,,,," 43,200.00 ",," 43,200.00 ",,,,,,,
15,BU 1.1,7,3,IB. APPROVED/IMPLEMENTING PROJECTS |  Processed  Projects,Logistic,QT20100037.12,Warehouse Garnier 2021 _ 200 SQM.(DECEMBER),บริษัท ครีม (ประเทศไทย) จำกัด,Got PO,01-12-21,31-12-21,2021,Piriya Limteerayos,Q4,445122020,Warehouse Garnier 2021 _ 200 SQM.(DECEMBER),Existing,Garnier," 26,000.00 ",ของใช้ส่วนตัวและเวชภัณฑ์,Chanatinad,บำรุงผิวหน้า,06-11-20,RAWISARA,10-02-21,,,,,,,,,,,," 43,200.00 "," 43,200.00 ",,,,,,,
16,BU 1.1,263,3,IA. APPROVED/IMPLEMENTED PROJECTS  | Finished  Projects,Logistic,QT20100038,Warehouse L'oreal professional (Jan  - Jun 2021 ),บริษัท ครีม (ประเทศไทย) จำกัด,Got PO,01-01-21,30-06-21,2021,Piriya Limteerayos,Q1,,,Existing,L'Oreal, 0.00 ,ของใช้ส่วนตัวและเวชภัณฑ์,Chanatinad,เสริมความงาม,12-10-20,Arisa,05-01-21,,,,,,,,,,,,, 0.00 ,,,,,,,
17,BU 1.1,270,3,IA. APPROVED/IMPLEMENTED PROJECTS  | Finished  Projects,Logistic,QT20100038.1,Warehouse L'oreal professional (Jan - Jun 2021)50 SQM.(JANUARY),บริษัท ครีม (ประเทศไทย) จำกัด,Got PO,01-01-21,31-01-21,2021,Piriya Limteerayos,Q1,46312020,Warehouse L'oreal professional (Jan - Jun 2021)50 SQM.(JANUARY),Existing,L'Oreal," 6,500.00 ",ของใช้ส่วนตัวและเวชภัณฑ์,Chanatinad,เสริมความงาม,06-11-20,RAWISARA,03-02-21," 10,800.00 ",,,,,,,,,,,," 10,800.00 ",,,,,,,
18,BU 1.1,16,3,IA. APPROVED/IMPLEMENTED PROJECTS  | Finished  Projects,Logistic,QT20100038.2,Warehouse L'oreal professional (Jan - Jun 2021)50 SQM.(FEBRUARY),บริษัท ครีม (ประเทศไทย) จำกัด,Got PO,01-02-21,28-02-21,2021,Piriya Limteerayos,Q1,46322020,Warehouse L'oreal professional (Jan - Jun 2021)50 SQM.(FEBRUARY),Existing,L'Oreal," 6,500.00 ",ของใช้ส่วนตัวและเวชภัณฑ์,Chanatinad,เสริมความงาม,06-11-20,RAWISARA,03-03-21,," 10,800.00 ",,,,,,,,,,," 10,800.00 ",,,,,,,
19,BU 1.1,17,3,IA. APPROVED/IMPLEMENTED PROJECTS  | Finished  Projects,Logistic,QT20100038.3,Warehouse L'oreal professional (Jan - Jun 2021)50 SQM.(MARCH),บริษัท ครีม (ประเทศไทย) จำกัด,Got PO,01-03-21,31-03-21,2021,Piriya Limteerayos,Q1,46332020,Warehouse L'oreal professional (Jan - Jun 2021)50 SQM.(MARCH),Existing,L'Oreal," 6,500.00 ",ของใช้ส่วนตัวและเวชภัณฑ์,Chanatinad,เสริมความงาม,06-11-20,RAWISARA,30-03-21,,," 10,800.00 ",,,,,,,,,," 10,800.00 ",,,,,,,
20,BU 1.1,18,3,IA. APPROVED/IMPLEMENTED PROJECTS  | Finished  Projects,Logistic,QT20100038.4,Warehouse L'oreal professional (Jan - Jun 2021)50 SQM.(APRIL),บริษัท ครีม (ประเทศไทย) จำกัด,Got PO,01-04-21,30-04-21,2021,Piriya Limteerayos,Q2,46342020,Warehouse L'oreal professional (Jan - Jun 2021)50 SQM.(APRIL),Existing,L'Oreal," 6,500.00 ",ของใช้ส่วนตัวและเวชภัณฑ์,Chanatinad,เสริมความงาม,06-11-20,RAWISARA,30-04-21,,,," 10,800.00 ",,,,,,,,," 10,800.00 ",,,,,,,
21,BU 1.1,19,3,IA. APPROVED/IMPLEMENTED PROJECTS  | Finished  Projects,Logistic,QT20100038.5,Warehouse L'oreal professional (Jan - Jun 2021)50 SQM.(MAY),บริษัท ครีม (ประเทศไทย) จำกัด,Got PO,01-05-21,31-05-21,2021,Piriya Limteerayos,Q2,46352020,Warehouse L'oreal professional (Jan - Jun 2021)50 SQM.(MAY),Existing,L'Oreal," 6,500.00 ",ของใช้ส่วนตัวและเวชภัณฑ์,Chanatinad,เสริมความงาม,06-11-20,RAWISARA,30-04-21,,,,," 10,800.00 ",,,,,,,," 10,800.00 ",,,,,,,
22,BU 1.1,20,3,IA. APPROVED/IMPLEMENTED PROJECTS  | Finished  Projects,Logistic,QT20100038.6,Warehouse L'oreal professional (Jan - Jun 2021)50 SQM.(JUNE),บริษัท ครีม (ประเทศไทย) จำกัด,Got PO,01-06-21,30-06-21,2021,Piriya Limteerayos,Q2,46362020,Warehouse L'oreal professional (Jan - Jun 2021)50 SQM.(JUNE),Existing,L'Oreal," 6,500.00 ",ของใช้ส่วนตัวและเวชภัณฑ์,Chanatinad,เสริมความงาม,06-11-20,RAWISARA,04-02-21,,,,,," 10,800.00 ",,,,,,," 10,800.00 ",,,,,,,
23,BU 1.1,264,3,IA. APPROVED/IMPLEMENTED PROJECTS  | Finished  Projects,Logistic,QT20100039,Warehouse Maybelline 2021 _ 80 SQM.(JAN-DEC),บริษัท ครีม (ประเทศไทย) จำกัด,Got PO,01-01-21,31-12-21,2021,Piriya Limteerayos,Q1,,,Existing,Maybelline, 0.00 ,ของใช้ส่วนตัวและเวชภัณฑ์,Chanatinad,เสริมความงาม,12-10-20,Arisa,05-01-21,,,,,,,,,,,,, 0.00 ,,,,,,,
24,BU 1.1,271,3,IA. APPROVED/IMPLEMENTED PROJECTS  | Finished  Projects,Logistic,QT20100039.1,Warehouse Maybelline 2021 _ 80 SQM.(JANUARY),บริษัท ครีม (ประเทศไทย) จำกัด,Got PO,01-01-21,31-01-21,2021,Piriya Limteerayos,Q1,46512020,Warehouse Maybelline 2021 _ 80 SQM.(JANUARY),Existing,Maybelline," 10,400.00 ",ของใช้ส่วนตัวและเวชภัณฑ์,Chanatinad,เสริมความงาม,06-11-20,RAWISARA,04-02-21," 12,960.00 ",,,,,,,,,,,," 12,960.00 ",,,,,,,
25,BU 1.1,24,3,IA. APPROVED/IMPLEMENTED PROJECTS  | Finished  Projects,Logistic,QT20100039.2,Warehouse Maybelline 2021 _ 80 SQM.(FEBRUARY),บริษัท ครีม (ประเทศไทย) จำกัด,Got PO,01-02-21,28-02-21,2021,Piriya Limteerayos,Q1,46522020,Warehouse Maybelline 2021 _ 80 SQM.(FEBRUARY),Existing,Maybelline," 10,400.00 ",ของใช้ส่วนตัวและเวชภัณฑ์,Chanatinad,เสริมความงาม,06-11-20,RAWISARA,03-03-21,," 12,960.00 ",,,,,,,,,,," 12,960.00 ",,,,,,,
26,BU 1.1,25,3,IA. APPROVED/IMPLEMENTED PROJECTS  | Finished  Projects,Logistic,QT20100039.3,Warehouse Maybelline 2021 _ 80 SQM.(MARCH),บริษัท ครีม (ประเทศไทย) จำกัด,Got PO,01-03-21,31-03-21,2021,Piriya Limteerayos,Q1,46532020,Warehouse Maybelline 2021 _ 80 SQM.(MARCH),Existing,Maybelline," 10,400.00 ",ของใช้ส่วนตัวและเวชภัณฑ์,Chanatinad,เสริมความงาม,06-11-20,RAWISARA,30-03-21,,," 12,960.00 ",,,,,,,,,," 12,960.00 ",,,,,,,
27,BU 1.1,26,3,IA. APPROVED/IMPLEMENTED PROJECTS  | Finished  Projects,Logistic,QT20100039.4,Warehouse Maybelline 2021 _ 80 SQM.(APRIL),บริษัท ครีม (ประเทศไทย) จำกัด,Got PO,01-04-21,30-04-21,2021,Piriya Limteerayos,Q2,46542020,Warehouse Maybelline 2021 _ 80 SQM.(APRIL),Existing,Maybelline," 10,400.00 ",ของใช้ส่วนตัวและเวชภัณฑ์,Chanatinad,เสริมความงาม,06-11-20,RAWISARA,30-04-21,,,," 12,960.00 ",,,,,,,,," 12,960.00 ",,,,,,,
28,BU 1.1,27,3,IA. APPROVED/IMPLEMENTED PROJECTS  | Finished  Projects,Logistic,QT20100039.5,Warehouse Maybelline 2021 _ 80 SQM.(MAY),บริษัท ครีม (ประเทศไทย) จำกัด,Got PO,01-05-21,31-05-21,2021,Piriya Limteerayos,Q2,46552020,Warehouse Maybelline 2021 _ 80 SQM.(MAY),Existing,Maybelline," 10,400.00 ",ของใช้ส่วนตัวและเวชภัณฑ์,Chanatinad,เสริมความงาม,06-11-20,RAWISARA,30-04-21,,,,," 12,960.00 ",,,,,,,," 12,960.00 ",,,,,,,
29,BU 1.1,28,3,IA. APPROVED/IMPLEMENTED PROJECTS  | Finished  Projects,Logistic,QT20100039.6,Warehouse Maybelline 2021 _ 80 SQM.(JUNE),บริษัท ครีม (ประเทศไทย) จำกัด,Got PO,01-06-21,30-06-21,2021,Piriya Limteerayos,Q2,46562020,Warehouse Maybelline 2021 _ 80 SQM.(JUNE),Existing,Maybelline," 10,400.00 ",ของใช้ส่วนตัวและเวชภัณฑ์,Chanatinad,เสริมความงาม,06-11-20,RAWISARA,04-02-21,,,,,," 12,960.00 ",,,,,,," 12,960.00 ",,,,,,,
30,BU 1.1,29,3,IA. APPROVED/IMPLEMENTED PROJECTS  | Finished  Projects,Logistic,QT20100039.7,Warehouse Maybelline 2021 _ 80 SQM.(JULY),บริษัท ครีม (ประเทศไทย) จำกัด,Got PO,01-07-21,31-07-21,2021,Piriya Limteerayos,Q3,46572020,Warehouse Maybelline 2021 _ 80 SQM.(JULY),Existing,Maybelline," 10,400.00 ",ของใช้ส่วนตัวและเวชภัณฑ์,Chanatinad,เสริมความงาม,06-11-20,RAWISARA,04-02-21,,,,,,," 12,960.00 ",,,,,," 12,960.00 ",,,,,,,
31,BU 1.1,30,3,IA. APPROVED/IMPLEMENTED PROJECTS  | Finished  Projects,Logistic,QT20100039.8,Warehouse Maybelline 2021 _ 80 SQM.(AUGUST),บริษัท ครีม (ประเทศไทย) จำกัด,Got PO,01-08-21,31-08-21,2021,Piriya Limteerayos,Q3,46582020,Warehouse Maybelline 2021 _ 80 SQM.(AUGUST),Existing,Maybelline," 10,400.00 ",ของใช้ส่วนตัวและเวชภัณฑ์,Chanatinad,เสริมความงาม,06-11-20,RAWISARA,04-02-21,,,,,,,," 12,960.00 ",,,,," 12,960.00 ",,,,,,,
32,BU 1.1,31,3,IA. APPROVED/IMPLEMENTED PROJECTS  | Finished  Projects,Logistic,QT20100039.9,Warehouse Maybelline 2021 _ 80 SQM.(SEPTEMBER),บริษัท ครีม (ประเทศไทย) จำกัด,Got PO,01-09-21,30-09-21,2021,Piriya Limteerayos,Q3,46592020,Warehouse Maybelline 2021 _ 80 SQM.(SEPTEMBER),Existing,Maybelline," 10,400.00 ",ของใช้ส่วนตัวและเวชภัณฑ์,Chanatinad,เสริมความงาม,06-11-20,RAWISARA,04-02-21,,,,,,,,," 12,960.00 ",,,," 12,960.00 ",,,,,,,
33,BU 1.1,21,3,IA. APPROVED/IMPLEMENTED PROJECTS  | Finished  Projects,Logistic,QT20100039.10,Warehouse Maybelline 2021 _ 80 SQM.(OCTOBER),บริษัท ครีม (ประเทศไทย) จำกัด,Got PO,01-10-21,31-10-21,2021,Piriya Limteerayos,Q4,465102020,Warehouse Maybelline 2021 _ 80 SQM.(OCTOBER),Existing,Maybelline," 10,400.00 ",ของใช้ส่วนตัวและเวชภัณฑ์,Chanatinad,เสริมความงาม,06-11-20,RAWISARA,04-02-21,,,,,,,,,," 12,960.00 ",,," 12,960.00 ",,,,,,,
34,BU 1.1,22,3,IA. APPROVED/IMPLEMENTED PROJECTS  | Finished  Projects,Logistic,QT20100039.11,Warehouse Maybelline 2021 _ 80 SQM.(NOVEMBER),บริษัท ครีม (ประเทศไทย) จำกัด,Got PO,01-11-21,30-11-21,2021,Piriya Limteerayos,Q4,465112020,Warehouse Maybelline 2021 _ 80 SQM.(NOVEMBER),Existing,Maybelline," 10,400.00 ",ของใช้ส่วนตัวและเวชภัณฑ์,Chanatinad,เสริมความงาม,06-11-20,RAWISARA,04-02-21,,,,,,,,,,," 12,960.00 ",," 12,960.00 ",,,,,,,
35,BU 1.1,23,3,IB. APPROVED/IMPLEMENTING PROJECTS |  Processed  Projects,Logistic,QT20100039.12,Warehouse Maybelline 2021 _ 80 SQM.(DECEMBER),บริษัท ครีม (ประเทศไทย) จำกัด,Got PO,01-12-21,31-12-21,2021,Piriya Limteerayos,Q4,465122020,Warehouse Maybelline 2021 _ 80 SQM.(DECEMBER),Existing,Maybelline," 10,400.00 ",ของใช้ส่วนตัวและเวชภัณฑ์,Chanatinad,เสริมความงาม,06-11-20,RAWISARA,04-02-21,,,,,,,,,,,," 12,960.00 "," 12,960.00 ",,,,,,,
36,BU 1.1,267,3,IA. APPROVED/IMPLEMENTED PROJECTS  | Finished  Projects,Logistic,QT20100040,Warehouse loreal paris 2021 (DERMO / LMU/HAIR CARE) 200 SQM.,บริษัท ครีม (ประเทศไทย) จำกัด,Got PO,01-01-21,31-12-21,2021,Piriya Limteerayos,Q1,,,Existing,DERMO / LMU/HAIR CARE, 0.00 ,ของใช้ส่วนตัวและเวชภัณฑ์,Chanatinad,ดูแลเส้นผม,12-10-20,Chanatinad,01-02-21,,,,,,,,,,,,, 0.00 ,,,,,,,
37,BU 1.1,268,3,IA. APPROVED/IMPLEMENTED PROJECTS  | Finished  Projects,Logistic,QT20100040.1,Warehouse loreal paris 2021 (DERMO / LMU/HAIR CARE) 200 SQM.(JANUARY) ,บริษัท ครีม (ประเทศไทย) จำกัด,Got PO,01-01-21,31-01-21,2021,Piriya Limteerayos,Q1,438132020,Warehouse loreal paris 2021 (DERMO / LMU/HAIR CARE) 200 SQM.(JANUARY) ,Existing,DERMO / LMU/HAIR CARE," 26,000.00 ",ของใช้ส่วนตัวและเวชภัณฑ์,Chanatinad,ดูแลเส้นผม,02-11-20,RAWISARA,03-02-21," 37,800.00 ",,,,,,,,,,,," 37,800.00 ",,,,,,,
38,BU 1.1,35,3,IA. APPROVED/IMPLEMENTED PROJECTS  | Finished  Projects,Logistic,QT20100040.2,Warehouse loreal paris 2021 (DERMO / LMU/HAIR CARE) 200 SQM.(FEBRUARY),บริษัท ครีม (ประเทศไทย) จำกัด,Got PO,01-02-21,28-02-21,2021,Piriya Limteerayos,Q1,438142020,Warehouse loreal paris 2021 (DERMO / LMU/HAIR CARE) 200 SQM.(FEBRUARY),Existing,DERMO / LMU/HAIR CARE," 26,000.00 ",ของใช้ส่วนตัวและเวชภัณฑ์,Chanatinad,ดูแลเส้นผม,02-11-20,RAWISARA,03-03-21,," 37,800.00 ",,,,,,,,,,," 37,800.00 ",,,,,,,
39,BU 1.1,36,3,IA. APPROVED/IMPLEMENTED PROJECTS  | Finished  Projects,Logistic,QT20100040.3,Warehouse loreal paris 2021 (DERMO / LMU/HAIR CARE) 200 SQM. (MARCH),บริษัท ครีม (ประเทศไทย) จำกัด,Got PO,01-03-21,31-03-21,2021,Piriya Limteerayos,Q1,438152020,Warehouse loreal paris 2021 (DERMO / LMU/HAIR CARE) 200 SQM. (MARCH),Existing,DERMO / LMU/HAIR CARE," 26,000.00 ",ของใช้ส่วนตัวและเวชภัณฑ์,Chanatinad,ดูแลเส้นผม,05-11-20,RAWISARA,30-03-21,,," 37,800.00 ",,,,,,,,,," 37,800.00 ",,,,,,,
40,BU 1.1,37,3,IA. APPROVED/IMPLEMENTED PROJECTS  | Finished  Projects,Logistic,QT20100040.4,Warehouse loreal paris 2021 (DERMO / LMU/HAIR CARE) 200 SQM.(APRIL),บริษัท ครีม (ประเทศไทย) จำกัด,Got PO,01-04-21,30-04-21,2021,Piriya Limteerayos,Q2,438162020,Warehouse loreal paris 2021 (DERMO / LMU/HAIR CARE) 200 SQM.(APRIL),Existing,DERMO / LMU/HAIR CARE," 26,000.00 ",ของใช้ส่วนตัวและเวชภัณฑ์,Chanatinad,ดูแลเส้นผม,05-11-20,RAWISARA,30-04-21,,,," 37,800.00 ",,,,,,,,," 37,800.00 ",,,,,,,
41,BU 1.1,38,3,IA. APPROVED/IMPLEMENTED PROJECTS  | Finished  Projects,Logistic,QT20100040.5,Warehouse loreal paris 2021 (DERMO / LMU/HAIR CARE) 200 SQM.(MAY),บริษัท ครีม (ประเทศไทย) จำกัด,Got PO,01-05-21,31-05-21,2021,Piriya Limteerayos,Q2,438172020,Warehouse loreal paris 2021 (DERMO / LMU/HAIR CARE) 200 SQM.(MAY),Existing,DERMO / LMU/HAIR CARE," 26,000.00 ",ของใช้ส่วนตัวและเวชภัณฑ์,Chanatinad,ดูแลเส้นผม,05-11-20,RAWISARA,30-04-21,,,,," 37,800.00 ",,,,,,,," 37,800.00 ",,,,,,,
42,BU 1.1,39,3,IA. APPROVED/IMPLEMENTED PROJECTS  | Finished  Projects,Logistic,QT20100040.6,Warehouse loreal paris 2021 (DERMO / LMU/HAIR CARE) 200 SQM.(JUNE),บริษัท ครีม (ประเทศไทย) จำกัด,Got PO,01-06-21,30-06-21,2021,Piriya Limteerayos,Q2,438182020,Warehouse loreal paris 2021 (DERMO / LMU/HAIR CARE) 200 SQM.(JUNE),Existing,DERMO / LMU/HAIR CARE," 26,000.00 ",ของใช้ส่วนตัวและเวชภัณฑ์,Chanatinad,ดูแลเส้นผม,06-11-20,RAWISARA,10-02-21,,,,,," 37,800.00 ",,,,,,," 37,800.00 ",,,,,,,
43,BU 1.1,40,3,IA. APPROVED/IMPLEMENTED PROJECTS  | Finished  Projects,Logistic,QT20100040.7,Warehouse loreal paris 2021 (DERMO / LMU/HAIR CARE) 200 SQM.(JULY),บริษัท ครีม (ประเทศไทย) จำกัด,Got PO,01-07-21,31-07-21,2021,Piriya Limteerayos,Q3,438192020,Warehouse loreal paris 2021 (DERMO / LMU/HAIR CARE) 200 SQM.(JULY),Existing,DERMO / LMU/HAIR CARE," 26,000.00 ",ของใช้ส่วนตัวและเวชภัณฑ์,Chanatinad,ดูแลเส้นผม,06-11-20,RAWISARA,10-02-21,,,,,,," 37,800.00 ",,,,,," 37,800.00 ",,,,,,,
44,BU 1.1,41,3,IA. APPROVED/IMPLEMENTED PROJECTS  | Finished  Projects,Logistic,QT20100040.8,Warehouse loreal paris 2021 (DERMO / LMU/HAIR CARE) 200 SQM.(AUGUST),บริษัท ครีม (ประเทศไทย) จำกัด,Got PO,01-08-21,31-08-21,2021,Piriya Limteerayos,Q3,438202020,Warehouse loreal paris 2021 (DERMO / LMU/HAIR CARE) 200 SQM.(AUGUST),Existing,DERMO / LMU/HAIR CARE," 26,000.00 ",ของใช้ส่วนตัวและเวชภัณฑ์,Chanatinad,ดูแลเส้นผม,06-11-20,RAWISARA,10-02-21,,,,,,,," 37,800.00 ",,,,," 37,800.00 ",,,,,,,
